iter	Passed	Remaining
0	6	1591
1	11	1384
2	15	1263
3	19	1200
4	23	1159
5	27	1106
6	30	1052
7	33	1007
8	36	975
9	39	954
10	43	934
11	46	913
12	49	905
13	53	893
14	56	879
15	59	865
16	62	854
17	65	846
18	68	836
19	71	826
20	74	817
21	78	809
22	81	805
23	84	796
24	87	791
25	90	783
26	94	776
27	97	769
28	100	762
29	103	755
30	105	748
31	109	743
32	112	738
33	115	733
34	118	726
35	121	722
36	124	716
37	127	710
38	130	705
39	133	699
40	136	695
41	139	690
42	142	685
43	145	680
44	148	675
45	151	670
46	154	665
47	157	660
48	160	656
49	162	651
50	166	648
51	169	644
52	172	641
53	175	636
54	178	632
55	181	628
56	184	624
57	187	620
58	190	616
59	193	612
60	197	610
61	200	608
62	203	605
63	207	601
64	210	599
65	213	596
66	217	594
67	221	592
68	225	591
69	228	587
70	231	584
71	234	580
72	237	577
73	241	573
74	244	569
75	247	566
76	250	562
77	253	559
78	257	556
79	260	552
80	263	549
81	266	545
82	269	542
83	272	538
84	275	535
85	278	531
86	281	527
87	284	524
88	287	520
89	290	517
90	293	513
91	296	509
92	299	505
93	302	502
94	305	498
95	308	495
96	311	491
97	314	488
98	317	484
99	320	481
100	323	477
101	326	474
102	330	470
103	332	467
104	335	463
105	338	460
106	341	457
107	344	453
108	347	450
109	350	446
110	353	443
111	356	439
112	359	436
113	362	432
114	365	429
115	368	425
116	371	422
117	374	419
118	377	415
119	380	412
120	383	409
121	386	405
122	389	402
123	392	399
124	395	395
125	398	392
126	401	389
127	404	385
128	407	382
129	411	379
130	414	376
131	417	373
132	421	370
133	424	367
134	427	364
135	431	361
136	434	358
137	437	355
138	441	352
139	444	349
140	447	346
141	450	342
142	454	339
143	457	336
144	460	333
145	463	330
146	466	326
147	469	323
148	472	320
149	475	317
150	478	313
151	481	310
152	485	307
153	487	304
154	490	300
155	493	297
156	496	294
157	499	291
158	502	287
159	505	284
160	508	281
161	511	277
162	514	274
163	518	271
164	520	268
165	523	265
166	526	261
167	529	258
168	532	255
169	535	252
170	538	248
171	541	245
172	544	242
173	547	239
174	550	236
175	553	232
176	556	229
177	559	226
178	562	223
179	565	220
180	568	216
181	571	213
182	574	210
183	577	207
184	579	203
185	582	200
186	585	197
187	589	194
188	592	191
189	595	187
190	598	184
191	601	181
192	604	178
193	607	175
194	610	172
195	613	169
196	617	166
197	620	163
198	623	159
199	627	156
200	630	153
201	634	150
202	637	147
203	640	144
204	643	141
205	647	138
206	650	135
207	653	131
208	656	128
209	659	125
210	662	122
211	665	119
212	668	116
213	671	112
214	674	109
215	677	106
216	680	103
217	684	100
218	687	97
219	690	94
220	693	90
221	696	87
222	699	84
223	702	81
224	705	78
225	708	75
226	711	72
227	714	68
228	717	65
229	720	62
230	723	59
231	725	56
232	728	53
233	732	50
234	735	46
235	738	43
236	741	40
237	744	37
238	747	34
239	750	31
240	753	28
241	756	25
242	759	21
243	762	18
244	765	15
245	768	12
246	771	9
247	774	6
248	777	3
249	780	0
