Input,Input_delayed,Liquid_levels,Error,Derivative_error,Integral_error,Valve_Positions
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.8,0,0,0.8,1.1259E+14,0,100
0.8,0,3.68E-31,0.8,0,1.14E-14,100
0.8,0,2.18E-05,0.799978166,-0.000199123,0.087719384,100
0.8,0,8.70E-05,0.79991297,-0.000594585,0.175433992,100
0.8,0,0.000283779,0.799716221,-0.001106426,0.317661339,100
0.8,0,0.000644221,0.799355779,-0.001774155,0.480100009,100
0.8,0,0.001259378,0.798740622,-0.002539272,0.673679,100
0.8,0.8,0.001793692,0.798206308,-0.003226159,0.805923006,100
0.8,0.8,0.001793692,0.798206308,-0.00390625,0.805923006,100
0.8,0.8,0.002937153,0.797062847,-0.00393676,1.037607652,82.70203254
0.8,0.8,0.004302099,0.795697901,-0.004699301,1.268927127,78.06116488
0.8,0.8,0.006640523,0.793359477,-0.00553474,1.604629259,76.70390836
0.8,0.8,0.010261969,0.789738031,-0.006602079,2.038847867,76.55551367
0.8,0.8,0.016491364,0.783508636,-0.007975439,2.653337221,76.67424244
0.8,0.8,0.026494233,0.773505767,-0.009703876,3.455999265,77.57243814
0.8,0.8,0.033657399,0.766342601,-0.011163894,3.950048298,77.04165434
0.8,0.8,0.041483403,0.758516597,-0.012196936,4.439285689,76.7516543
0.8,0.8,0.052186406,0.747813594,-0.013275295,5.046576494,76.8390261
0.8,0.8,0.065505498,0.734494502,-0.014450512,5.729787518,78.01813743
0.8,0.8,0.075003427,0.724996573,-0.015394757,6.180034187,76.8115903
0.8,0.8,0.084931702,0.715068298,-0.016092288,6.624285947,76.23965969
0.8,0.8,0.098045353,0.701954647,-0.016814573,7.176892043,76.14182525
0.8,0.8,0.11401338,0.68598662,-0.01759944,7.806590234,76.9765953
0.8,0.8,0.125541815,0.674458185,-0.018232537,8.236712217,75.88240324
0.8,0.8,0.137367042,0.662632958,-0.018701923,8.65944884,75.2530554
0.8,0.8,0.152278186,0.647721814,-0.019169554,9.169107207,75.0599239
0.8,0.8,0.169694941,0.630305059,-0.019651471,9.735486546,75.67879927
0.8,0.8,0.182512383,0.617487617,-0.020026417,10.13480776,74.58809816
0.8,0.8,0.195504941,0.604495059,-0.020300026,10.52586759,73.89785366
0.8,0.8,0.211407943,0.588592057,-0.020557024,10.98736961,73.62251693
0.8,0.8,0.229560844,0.570439156,-0.020800914,11.49312753,74.07134638
0.8,0.8,0.24625263,0.55374737,-0.02099009,11.94012775,74.57634792
0.8,0.8,0.259912891,0.540087109,-0.021104318,12.29413737,73.00576425
0.8,0.8,0.272683146,0.527316854,-0.021177624,12.61596566,71.87307735
0.8,0.8,0.287565279,0.512434721,-0.021225446,12.98047623,71.34810277
0.8,0.8,0.305545606,0.494454394,-0.021244391,13.40657077,71.28724637
0.8,0.8,0.323793584,0.476206416,-0.021223466,13.82385896,72.139222
0.8,0.8,0.338886169,0.461113831,-0.021161926,14.15810478,71.37178794
0.8,0.8,0.351561484,0.448438516,-0.02108477,14.43149644,69.7044612
0.8,0.8,0.364905974,0.435094026,-0.020997422,14.71224909,68.9120231
0.8,0.8,0.381212654,0.418787346,-0.020872815,15.04578518,68.52632111
0.8,0.8,0.39953888,0.40046112,-0.020697914,15.408461,68.95710522
0.8,0.8,0.415854055,0.384145945,-0.02049138,15.72080418,69.45445487
0.8,0.8,0.428794475,0.371205525,-0.020287503,15.96170066,67.62428286
0.8,0.8,0.440752869,0.359247131,-0.020104442,16.17893731,66.41141627
0.8,0.8,0.454729934,0.345270066,-0.019898623,16.42635942,65.83179481
0.8,0.8,0.471548684,0.328451316,-0.01963282,16.71491875,65.73553102
0.8,0.8,0.488293947,0.311706053,-0.01932025,16.99232032,66.68325658
0.8,0.8,0.501764126,0.298235874,-0.019011958,17.20838649,65.77941375
0.8,0.8,0.512875409,0.287124591,-0.018746803,17.38185266,64.00272007
0.8,0.8,0.524567647,0.275432353,-0.018494896,17.55966482,63.19341084
0.8,0.8,0.538871138,0.261128862,-0.018191788,17.77058629,62.79412666
0.8,0.8,0.554809025,0.245190975,-0.017821652,17.99696226,63.28656666
0.8,0.8,0.565843385,0.234156615,-0.017469855,18.14833698,61.95616551
0.8,0.8,0.576693265,0.223306735,-0.017177781,18.2927997,61.12608495
0.8,0.8,0.58975225,0.21024775,-0.016846543,18.46082162,60.7160894
0.8,0.8,0.604303234,0.195696766,-0.016449117,18.64034599,61.10227009
0.8,0.8,0.617169836,0.182830164,-0.016037728,18.79216875,61.68136031
0.8,0.8,0.627240306,0.172759694,-0.01567442,18.90638878,59.90293503
0.8,0.8,0.636362258,0.163637742,-0.015367699,19.00621992,58.67121963
0.8,0.8,0.646843253,0.153156747,-0.015046488,19.11654159,58.1059359
0.8,0.8,0.659332097,0.140667903,-0.014657371,19.24169352,58.02002988
0.8,0.8,0.671710526,0.128289474,-0.014223597,19.35870208,59.0003986
0.8,0.8,0.681590472,0.118409528,-0.013817421,19.44688861,58.25888228
0.8,0.8,0.689606588,0.110393412,-0.013481422,19.51490427,56.49153726
0.8,0.8,0.697879573,0.102120427,-0.013174388,19.58161926,55.70864698
0.8,0.8,0.70787775,0.09212225,-0.012819303,19.6573478,55.36082566
0.8,0.8,0.718957925,0.081042075,-0.012398782,19.73469402,55.88605546
0.8,0.8,0.726600067,0.073399933,-0.012009902,19.78382147,54.67955754
0.8,0.8,0.734040695,0.065959305,-0.011693214,19.82814974,53.92598762
0.8,0.8,0.742833727,0.057166273,-0.011344116,19.87584956,53.6044823
0.8,0.8,0.752445441,0.047554559,-0.010938391,19.92183352,54.06676326
0.8,0.8,0.76084809,0.03915191,-0.010529668,19.95641196,54.64913507
0.8,0.8,0.767404275,0.032595725,-0.010175432,19.97951693,53.02293874
0.8,0.8,0.773316494,0.026683506,-0.009879408,19.99724646,51.90027847
0.8,0.8,0.780014516,0.019985484,-0.009574285,20.01355788,51.42983336
0.8,0.8,0.787844023,0.012155977,-0.009213094,20.02719244,51.46146837
0.8,0.8,0.795469885,0.004530115,-0.00881981,20.03438444,52.49516829
0.8,0.8,0.801502556,-0.001502556,-0.008457591,20.0354532,51.83024913
0.8,0.8,0.806379455,-0.006379455,-0.008160953,20.03309109,50.21072415
0.8,0.8,0.811369312,-0.011369312,-0.007892378,20.02747153,49.53036332
0.8,0.8,0.817297403,-0.017297403,-0.007586232,20.01625445,49.30188285
0.8,0.8,0.823730765,-0.023730765,-0.007230848,19.99798,49.95129045
0.8,0.8,0.828125959,-0.028125959,-0.006906043,19.9814705,48.83527503
0.8,0.8,0.832354986,-0.032354986,-0.006644951,19.96221628,48.17405527
0.8,0.8,0.837280059,-0.037280059,-0.006360611,19.93524185,47.96607645
0.8,0.8,0.842577217,-0.042577217,-0.006034421,19.90017127,48.55053698
0.8,0.8,0.847134811,-0.047134811,-0.005709598,19.86435265,49.24998637
0.8,0.8,0.850638014,-0.050638014,-0.005429813,19.83280537,47.73549121
0.8,0.8,0.85375214,-0.05375214,-0.00519953,19.80153842,46.70267603
0.8,0.8,0.85722364,-0.05722364,-0.00496494,19.76273125,46.33638105
0.8,0.8,0.861205061,-0.061205061,-0.004690075,19.71244705,46.49233716
