Time,Input,Liquid_levels,Feedback,Valve_Positions
0 sec,0,0,0,0
200 sec,0,0,0,0
400 sec,0,0,0,0
500 sec,0,0,0,0
500 sec,0.75,0,0.75,100
500 sec,0.75,2.01E-26,0.75,100
500.17 sec,0.75,4.22E-05,0.749957783,100
500.32 sec,0.75,0.000151506,0.749848494,100
500.51 sec,0.75,0.000383765,0.749616235,100
500.73 sec,0.75,0.000787122,0.749212878,100
500.99 sec,0.75,0.001450079,0.748549921,100
501.32 sec,0.75,0.002514887,0.747485113,100
501.57 sec,0.75,0.00354294,0.74645706,100
501.57 sec,0.75,0.00354294,0.74645706,100
501.97 sec,0.75,0.005525871,0.744474129,98.78702898
502.38 sec,0.75,0.007904037,0.742095963,98.71485371
503.19 sec,0.75,0.013757743,0.736242257,99.07302898
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,100
504.03 sec,0.75,0.021286728,0.728713272,99.99999999
504.03 sec,0.75,0.021286728,0.728713272,99.99999998
504.03 sec,0.75,0.021286728,0.728713272,99.99999997
504.03 sec,0.75,0.021286729,0.728713271,99.99999994
504.03 sec,0.75,0.021286729,0.728713271,99.99999988
504.03 sec,0.75,0.021286729,0.728713271,99.99999975
504.03 sec,0.75,0.02128673,0.72871327,99.9999995
504.03 sec,0.75,0.021286731,0.728713269,99.99999901
504.03 sec,0.75,0.021286734,0.728713266,99.99999801
504.03 sec,0.75,0.021286739,0.728713261,99.99999602
504.03 sec,0.75,0.02128675,0.72871325,99.99999205
504.03 sec,0.75,0.021286772,0.728713228,99.99998409
504.03 sec,0.75,0.021286816,0.728713184,99.99996818
504.03 sec,0.75,0.021286903,0.728713097,99.99993637
